questionText,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,category
একটি ইলেকট্রন এমন বেগে চলেছে যে তার ডি-ব্রগলি তরঙ্গদৈর্ঘ্য (de Broglie wavelength) এক সেকেন্ডে অতিক্রান্ত দরূত্বের সমান। ইলেকট্রনটির বেগ কত হবে?,√(h/m),√(m/h),√(h/p),√(h/2KE),A,Moderate,,Chemistry
ক্ষারকীয়তার সঠিক ক্রম হলো-,Na2O < B2O3 < Al2O3 < MgO,B2O3 < Al2O3 < Na2O < MgO,B2O3< Al2O3 < MgO < Na2O,Al2O3 < B2O3 < MgO < Na2O,A,Moderate,,Chemistry
CO-এর সঙ্গে সমইলেকট্রনিক (Isoelectronic) কোন আয়নটি?,CN⁻,N₂⁺,O²⁻,N₂⁻,A,Moderate,,Chemistry
কোন মৌলের ইলেকট্রনিক বিন্যাসের ক্ষেত্রে দ্বিতীয় ও তৃতীয় আয়নীকরণ শক্তির (Second and Third Ionisation Energy) মধ্যে অস্বাভাবিকভাবে বেশি পার্থক্য দেখা যায়?,1s² 2s² 2p⁶ 3s¹,1s² 2s² 2p⁶ 3s¹ 3p¹,1s² 2s² 2p⁶ 3s² 3p²,1s² 2s² 2p⁶ 3s²,A,Moderate,,Chemistry
নীচের কোন কোয়ান্টাম সংখ্যার সেটটি সম্ভব নয়?,"3, 2, -2, 1/2","3, 2, -3, 1/2","4, 0, 0, 1/2","5, 3, 0, 1/2",A,Moderate,,Chemistry
বোর তত্ত্ব অনসা ু রে পঞ্চম কক্ষে একটি ইলেকট্রনের কৌণিক ভরবেগ হল-,0.25h/π,2.5h/π,5π/h,0.25h/π,A,Moderate,,Chemistry
"NH₃, H₂, O₂ এবং CO₂-এর van der Waals ধ্রুবক","-এর মান যথাক্রমে 4.17, 0.244, 1.36 এবং 3.59। নিচের কোন গ্যাসটি সবচেয়ে সহজে তরলীকৃত (liquefied) হয়? (A) NH₃",H₂,O₂,CO₂,A,Moderate,,Chemistry
"সমান মোল পরিমাণ হাইড্রোজেন (H₂) ও অক্সিজেন (O₂) গ্যাস একটি পাত্রে রাখা আছে, যার গায়ে একটি সূক্ষ্ম ছিদ্র (pin-hole) রয়েছে । উভয় গ্যাসই ওই ছিদ্র দিয়ে বেরিয়ে যেতে পারে। হাইড্রোজেনের অর্ধেক অংশ বেরিয়ে যেতে যে সময় লাগে, সেই সময়ে অক্সিজেনের কত ভগ্নাংশ বেরিয়ে যাবে?",1/4,3/8,1/2,⅛,A,Moderate,,Chemistry
নিম্নলিখিত গ্যাসগুলির মধ্যে কোনটি আদর্শ গ্যাসের আচরণ থেকে সর্বাধিক বিচ্যুতি (maximum deviation from ideal gas behavior) প্রদর্শন করবে?,H₂(g),N₂(g),CH₄(g),NH₃(g),A,Moderate,,Chemistry
"সর্বাধিক সম্ভাব্য বেগ (most probable velocity), গড় বেগ (mean velocity) এবং গড় বর্গ বেগের বর্গমর্গ লূ (root mean square velocity বা RMS velocity)-এর অনপাতু কত?",1 : 2 : 3,1 : √2 : √3,√2 : √3 : √(8/π),√2 : √(8/π) : √3,A,Moderate,,Chemistry
"যদি কোনো গ্যাস ধ্রুব তাপমাত্রায় (constant temperature) প্রসারিত (expand) হয়, তবে তা কী নির্দেশ করে?",অণগুু লি র গতিশক্তি (kinetic energy) হ্রাস পায়।,গ্যাসের চাপ বদ্ধিৃ পায়।,অণগুু লির গতি শক্তি অপরিবর্তিত থাকে।,গ্যাসের অণরু সংখ্যা বদ্ধিৃ পায়।,A,Moderate,,Chemistry
কোনটিতে অযুগ্ম ইলেকট্রনের সংখ্যা সর্বাধিক?,Zn,Fe2+,Ni2+,Cu+,A,Moderate,,Chemistry
কোনো কক্ষের মখ্য ু কোয়ান্টাম সংখ্যা n হলে ওই কক্ষের অন্তর্গতর্গ কক্ষকের সংখ্যা –,2n,2n²,n²,2n+1,A,Moderate,,Chemistry
"সমান মোল পরিমাণ CO এবং N₂ নিয়ে একটি গ্যাসীয় মিশ্রণ প্রস্তুত করা হলো। যদি মিশ্রণের মোট চাপ 1 atm হয়, তবে মিশ্রণে নাইট্রোজেন (N₂)-এর আংশিক চাপ (partial pressure) কত হবে?",0.8 atm,0.9 atm,1 atm,0.5 atm,A,Moderate,,Chemistry
বোরের পারমাণবিক মডেলে একটি ইলেকট্রনের সর্বনিম্ন কৌণিক ভরবেগ হতে পারে-,h,0,h/2π,h/π,A,Moderate,,Chemistry
750 mm চাপের অধীনে কোনো গ্যাসের আয়তন 600 cc। তাপমাত্রা ধ্রুব রাখা হলে গ্যাসটিকে সংকুচিত করে 500 cc করা হলো। চাপের বদ্ধিৃ কত হবে?,150 mm,250 mm,350 mm,450 mm,A,Moderate,,Chemistry
"একটি আদর্শ গ্যাসকে (Ideal Gas) তরল করা যায় না, কারণ—",এর সংকট তাপমাত্রা (Critical Temperature) সর্বদা 0°C-এর উপরে থাকে।,এর অণগুু লি আকারে তুলনামলকভা ূ বে খুব ছোট।,এটি তরলে পরিণত হওয়ার আগে কঠিনে (solid) পরিণত হয়।,এর অণগুু লির মধ্যে কার্যকর আন্তঃআণবিক বল (intermolecular forces) উপেক্ষণীয় (negligible)।,A,Moderate,,Chemistry
4f কক্ষ এবং 4s কক্ষে থাকা দটিু ইলেকট্রনের মধ্যে কৌণিক ভরবেগের পার্থক্য –,2√3,3√2,√3,2,A,Moderate,,Chemistry
"যদি অবস্থানের অনিশ্চয়তা (uncertainty in position) এবং ভরবেগের অনিশ্চয়তা (uncertainty in momentum) সমান হয়, তবে বেগের অনিশ্চয়তা (uncertainty in velocity) কত হবে?",(1/2m) × √(h/π),√(h/2π),(1/m) × √(h/π),√(h/π),A,Moderate,,Chemistry
একটি ইলেকট্রনের (ভর = 9.1 × 10⁻²⁸ g) বেগ 3 × 10⁴ cm/s এবং বেগের পরিমাপ 0.001% পর্যন্ত সঠিক। ইলেকট্রনের অবস্থানের অনিশ্চয়তা (uncertainty in position) কত হবে?[অনিশ্চয়তা নীতির সমীকরণে h/(4π) ব্যবহার করো দেওয়া আছে: h = 6.626 × 10⁻²⁷ erg second],5.76 cm,7.68 cm,1.93 cm,3.84 cm,A,Moderate,,Chemistry
"যখন 'e' আধানবিশিষ্ট এবং 'm' ভরবিশিষ্ট একটি ইলেকট্রন, 'Ze' আধানবিশিষ্ট নিউক্লিয়াসের চারদিকে 'r' ব্যাসার্ধের বত্তাকার ৃ কক্ষপথে 'v' বেগে পরিভ্রমণ করে, তখন ইলেকট্রনের বিভব শক্তি (Potential Energy) কত হবে?",Ze²/r,−Ze²/r,−mv²/r,mv²/r,A,Moderate,,Chemistry
পরম শন্য ূ তাপমাত্রা (Absolute Zero) বলতে সেই তাপমাত্রাকে বোঝায়—,যে তাপমাত্রায় সকল অণরু গতি (molecular motion) বন্ধ হয়ে যায়।,যে তাপমাত্রায় তরল হিলিয়াম (liquid helium) স্ফুটিত হয়।,যে তাপমাত্রায় ইথার (ether) স্ফুটিত হয়।,উপরের সবকটিই।,A,Moderate,,Chemistry
কোনো গ্যাসকে আদর্শ গ্যাস (Ideal Gas) বলা হয় যখন pV/T সম্পর্কটি ধ্রুবক থাকে। বাস্তব গ্যাস (Real Gas) কখন আদর্শ গ্যাসের মতো আচরণ করবে বলে আশা করা যায়?,যখন তাপমাত্রা কম হয়।,যখন তাপমাত্রা ও চাপ উভয়ই কম হয়।,যখন তাপমাত্রা ও চাপ উভয়ই বেশি হয়।,যখন তাপমাত্রা বেশি এবং চাপ কম হয়।,A,Moderate,,Chemistry
নিম্নলিখিত কোন উক্তিটি হাইড্রোজেন পরমাণরু বোরের মডেলের (Bohr's Model) অংশ নয়?,কক্ষপথে অবস্থানকারী ইলেকট্রনের শক্তি (energy) নির্দিষ্ট বা কোয়ান্টাইজড (quantised) হয়।,নিউক্লিয়াসের সবচেয়ে নিকটবর্তী কক্ষপথে থাকা ইলেকট্রনের শক্তি সর্বনিম্ন হয়।,ইলেকট্রন নিউক্লিয়াসের চারদিকে বিভিন্ন কক্ষপথে (orbits) পরিভ্রমণ করে।,কক্ষপথে থাকা ইলেকট্রনের অবস্থান (position) এবং বেগ (velocity) একই সঙ্গে নির্ণয়র্ণ করা যায় না।,A,Moderate,,Chemistry
প্রদত্ত গ্যাস গুলির মধ্যে ____ এর ব্যাপন ক্ষমতা সবথেকে বেশি।,N2,NH3,O2,CO2,A,Moderate,,Chemistry
নিম্নলিখিত কোন উক্তিটি ভুল?,"ডি -ব্রগলি তরঙ্গদৈর্ঘ্য (de Broglie wavelength) λ = h/mv দ্বারা প্রকাশ করা হয়, যেখানে m = কণার ভর এবং v = কণার গোষ্ঠী বেগ (group velocity)।","অনিশ্চয়তা নীতি (Uncertainty Principle) অনযা ু য়ী, ΔE × Δt ≥ h/4π","অর্ধপূর্ণ (half-filled) এবং পূর্ণপর্ণ ূর্ণ (fully-filled) অরবিটালগুলির স্থায়িত্ব বেশি হয়, কারণ এদের বিনিময় শক্তি (exchange energy) বেশি, সমমিতি (symmetry) বেশি এবং ইলেকট্রন বিন্যাস অধিক সুষম (balanced) হয়।",হাইড্রোজেন-সদশৃ পরমাণরু (hydrogen-like atoms) ক্ষেত্রে 2s অরবিটালের শক্তি 2p অরবিটালের শক্তির চেয়ে কম।,A,Moderate,,Chemistry
নিম্নলিখিত d-অরবিটালগুলির কোন জোড়ার ইলেকট্রন ঘনত্ব অক্ষ বরাবর অবস্থান করে?,dz² এবং dxz,dxz এবং dyz,dz² এবং dx²−y²,dxy এবং dx²−y²,A,Moderate,,Chemistry
একই অরবিটালে অবস্থানকারী দটিু ইলেকট্রনকে কোন কোয়ান্টাম সংখ্যার সাহায্যে পৃথক করা যায়?,চৌম্বকীয় কোয়ান্টাম সংখ্যা (Magnetic Quantum Number),আজিমথাল ু বা কৌণিক ভরবেগ কোয়ান্টাম সংখ্যা (Azimuthal Quantum Number),স্পিন কোয়ান্টাম সংখ্যা (Spin Quantum Number),প্রধান কোয়ান্টাম সংখ্যা (Principal Quantum Number),A,Moderate,,Chemistry
বালমার বর্ণার্ণলি শ্রেণি (Balmer Series)-এর মধ্যে সর্বাধিক তরঙ্গদৈর্ঘ্য (longest wavelength) বিশিষ্ট বর্ণরের্ণ খাটি কোনটি হবে?,546 nm,656 nm,566 nm,556 nm,A,Moderate,,Chemistry
"27°C তাপমাত্রায় জলের ওপর সংগৃহীত একটি গ্যাসের আয়তন 150 mL এবং মোট চাপ 750 mm Hg। যদি ওই তাপমাত্রায় জলীয় বাষ্পচাপ (aqueous tension) 14 mm Hg হয়, তবে শুষ্ক গ্যাসের চাপ (pressure of dry gas) কত হবে?",764 mm Hg,736 mm Hg,750 mm Hg,14 mm Hg,A,Moderate,,Chemistry
Cr²⁺ আয়নের শুধুমাত্র স্পিনজনিত (spin only) চৌম্বক মহুূর্তের গণনাকৃত মান কত?,4.90 BM,5.92 BM,2.84 BM,3.87 BM,A,Moderate,,Chemistry
টাইটানিয়াম (Ti) পরমাণতেু নিম্নলিখিত অরবিটালগুলির শক্তির ক্রমবর্ধমান (increasing energy) সঠিক ক্রম কোনটি?,3s < 4s < 3p < 3d,4s < 3s < 3p < 3d,3s < 3p < 3d < 4s,3s < 3p < 4s < 3d,A,Moderate,,Chemistry
d-অরবিটালে অবস্থিত ইলেকট্রনের কৌণিক ভরবেগ (angular momentum) কত?,√6 h/2π,√2 h/2π,2√3 h/2π,0 h/2π,A,Moderate,,Chemistry
Fe²⁺ (Z = 26)-এ d-ইলেকট্রনের সংখ্যা নিম্নলিখিত কোনটির ইলেকট্রন সংখ্যার সমান নয়?,Mg (Z = 12)-এর s-ইলেকট্রনের সংখ্যা,Cl (Z = 17)-এর p-ইলেকট্রনের সংখ্যা,Fe (Z = 26)-এর d-ইলেকট্রনের সংখ্যা,Ne (Z = 10)-এর p-ইলেকট্রনের সংখ্যা,A,Moderate,,Chemistry
n = 4 এবং l = 3 বিশিষ্ট একটি উপস্তরে (subshell) সর্বাধিক কতটি ইলেকট্রন থাকতে পারে?,14,16,10,12,A,Moderate,,Chemistry
একটি নির্দিষ্ট পরমাণতেু কোনো দটিু ইলেকট্রনের চারটি কোয়ান্টাম সংখ্যার মান একসঙ্গে একই হতে পারে না। এই নীতিটিকে কী বলা হয়?,হুন্ডের নীতি (Hund's Rule),আউফবাউ নীতি (Aufbau Principle),অনিশ্চয়তা নীতি (Uncertainty Principle),পাউলির বর্জন নীতি (Pauli's Exclusion Principle),A,Moderate,,Chemistry
3p অরবিটালে গোলীয় নোড -এর সংখ্যা কত?,একটি,তিনটি,কোনোটি নয়,দটিু,A,Moderate,,Chemistry
